,Unnamed: 0,Questions,Answers,extended_answer,base_response,synonyms,synonym_responses,antonyms,antonym_responses
257,257,Gül Mosque and Hippodrome of Constantinople are both located where?,"Istanbul, Turkey","The Gül Mosque and Hippodrome of Constantinople are both located in Istanbul, Turkey."," The Gül Mosque and Hippodrome of Constantinople are both situated in Istanbul, Turkey.","1. The Gül Mosque and Hippodrome of Constantinople are both found in Istanbul, Turkey.;2. Istanbul, Turkey, is the location of both the Gül Mosque and Hippodrome of Constantinople.;3. In Istanbul, Turkey, you can find the Gül Mosque and Hippodrome of Constantinople.;4. The Gül Mosque and Hippodrome of Constantinople are both situated within the city of Istanbul, Turkey.;5. Istanbul, Turkey, is home to both the Gül Mosque and Hippodrome of Constantinople.",YES;YES;YES;YES;YES,"1. The Gül Mosque and Hippodrome of Constantinople are not both situated in Istanbul, Turkey.;2. Istanbul, Turkey, is not where the Gül Mosque and Hippodrome of Constantinople are both located.;3. The Gül Mosque and Hippodrome of Constantinople are not in the same location, which is Istanbul, Turkey.;4. Istanbul, Turkey, is not the place where the Gül Mosque and Hippodrome of Constantinople are found.;5. The Gül Mosque and Hippodrome of Constantinople are not in Turkey, Istanbul.",NO;YES;YES;YES;NO
258,258,Who is the Chief Executive Officer of the corporation that owns Space Dev?,Fatih Ozmen,Fatih Ozmen is the Chief Executive Officer of the corporation that owns Space Dev.," As of my last update, SpaceX, which is the corporation that owns Space Dev, is led by Elon Musk as its CEO.","1. Elon Musk serves as the CEO of the corporation that currently owns Space Dev, which is SpaceX.;2. As of my last update, SpaceX, the corporation that owns Space Dev, is headed by Elon Musk as its chief executive officer.;3. The CEO of the corporation that owns Space Dev, SpaceX, is Elon Musk.;4. Elon Musk is the leader of SpaceX, the corporation that owns Space Dev.;5. SpaceX, the corporation that owns Space Dev, is under the leadership of Elon Musk as its CEO.",YES;YES;YES;YES;YES,"1. Elon Musk is not the CEO of the corporation that owns Space Dev, as of my last update.;2. The corporation that owns Space Dev is not led by Elon Musk as its CEO, as of my last update.;3. As of my last update, a different individual, not Elon Musk, is the CEO of the corporation that owns Space Dev.;4. Elon Musk is not the current CEO of the corporation that owns Space Dev, according to my last update.;5. The CEO of the corporation that owns Space Dev is not Elon Musk, as per my last update.",NO;YES;NO;NO;YES
259,259,What other method of extending an ice hockey game exists other than the one used in the 1932 Allan Cup?,the shootout,"The other method of extending an ice hockey game, other than the one used in the 1932 Allan Cup, is the shootout."," In professional ice hockey, such as the NHL, an overtime period followed by a shootout is used to determine a winner when a game is tied after regulation, unlike the 1932 Allan Cup where multiple overtime periods were played.","1. In contemporary professional ice hockey, an overtime period followed by a shootout is employed to decide the winner when a game is tied after regulation, unlike the 1932 Allan Cup where multiple overtime periods were played.;2. Unlike the 1932 Allan Cup, where multiple overtime periods were played, modern professional ice hockey resolves tied games through an overtime period followed by a shootout.;3. In the NHL and other professional ice hockey leagues, a tied game is settled through an overtime period followed by a shootout, a method different from the 1932 Allan Cup where multiple overtime periods were played.;4. The 1932 Allan Cup utilized multiple overtime periods to determine a winner when a game was tied after regulation, whereas modern professional ice hockey employs an overtime period followed by a shootout.;5. In contrast to the 1932 Allan Cup, where multiple overtime periods were played to decide a winner when a game was tied after regulation, modern professional ice hockey uses an overtime period followed by a shootout.",YES;YES;YES;YES;YES,"1. In professional ice hockey, such as the NHL, a method other than multiple overtime periods is used to determine a winner when a game is tied after regulation.;2. The 1932 Allan Cup used multiple overtime periods as a method to determine a winner when a game was tied after regulation, unlike in professional ice hockey, such as the NHL, where an overtime period followed by a shootout is used.;3. Professional ice hockey, such as the NHL, does not use multiple overtime periods to determine a winner when a game is tied after regulation, unlike the 1932 Allan Cup.;4. Unlike the 1932 Allan Cup, professional ice hockey, such as the NHL, does not play multiple overtime periods when a game is tied after regulation.;5. In contrast to the 1932 Allan Cup, professional ice hockey, such as the NHL, does not use regulation time only when a game is tied; instead, an overtime period followed by a shootout is employed.",YES;YES;NO;YES;YES
260,260,What is one of the most successful retro-clones that is no longer supported by Wizards of the Coast?,Old School Reference and Index Compilation,"The Old School Reference and Index Compilation, which is no longer supported by Wizards of the Coast, is considered one of the most successful retro-clones."," One of the most successful retro-clones, the Pathfinder Roleplaying Game, is no longer supported by Wizards of the Coast, as it was developed by Paizo Publishing independently.","1. The Pathfinder Roleplaying Game, one of the most successful retro-clones, is no longer backed by Wizards of the Coast, as it was created by Paizo Publishing independently.;2. Wizards of the Coast no longer supports one of the most successful retro-clones, the Pathfinder Roleplaying Game, which was developed by Paizo Publishing independently.;3. The Pathfinder Roleplaying Game, a highly successful retro-clone, is no longer endorsed by Wizards of the Coast, as it was produced by Paizo Publishing independently.;4. One of the most successful retro-clones, the Pathfinder Roleplaying Game, is no longer under the support of Wizards of the Coast, as it was developed by Paizo Publishing independently.;5. Wizards of the Coast does not support one of the most successful retro-clones, the Pathfinder Roleplaying Game, which was created by Paizo Publishing independently.",YES;NO;YES;YES;NO,"1. The Pathfinder Roleplaying Game is currently supported by Wizards of the Coast.;2. Wizards of the Coast developed the Pathfinder Roleplaying Game, which is one of the most successful retro-clones.;3. The Pathfinder Roleplaying Game, one of the most successful retro-clones, is still being supported by Wizards of the Coast.;4. Wizards of the Coast is responsible for the development of the Pathfinder Roleplaying Game, a highly successful retro-clone.;5. The Pathfinder Roleplaying Game, a highly successful retro-clone, is still being developed by Wizards of the Coast.",NO;YES;NO;YES;NO
261,261,"The player also known as  ""O Fenômeno"" is responsible for popularized a soccer move first reported to be used by what player?",Law Adam,"The player also known as ""O Fenômeno"" is responsible for popularizing a soccer move first reported to be used by Law Adam."," The player known as ""O Fenômeno"" popularized the ""scissors kick"" move, which was initially reported to have been used by Gerd Müller.","1. The move known as the ""scissors kick"" was initially attributed to Gerd Müller, a player whose fame was later eclipsed by ""O Fenômeno"" for popularizing it.;2. Gerd Müller is the player who originally employed the ""scissors kick"" move, a technique that gained widespread recognition due to ""O Fenômeno"".;3. ""O Fenômeno"" popularized the ""scissors kick"" move, a technique that was first observed in the play of Gerd Müller.;4. The ""scissors kick"" move, now synonymous with ""O Fenômeno"", was initially used by Gerd Müller, a player whose style paved the way for the Brazilian's fame.;5. The ""scissors kick"" move, a signature technique of ""O Fenômeno"", was first reported to have been used by Gerd Müller, a player whose influence laid the groundwork for the Brazilian's success.",NO;NO;NO;YES;YES,"1. The ""scissors kick"" move, which was initially reported to have been used by Gerd Müller, was not popularized by the player known as ""O Fenômeno"".;2. The player known as ""O Fenômeno"" did not popularize the ""scissors kick"" move, which was initially reported to have been used by Gerd Müller.;3. Gerd Müller, and not the player known as ""O Fenômeno"", is responsible for the initial use of the ""scissors kick"" move.;4. The ""scissors kick"" move was not popularized by the player known as ""O Fenômeno"" after it was initially used by Gerd Müller.;5. It was Gerd Müller, not the player known as ""O Fenômeno"", who first used the ""scissors kick"" move, not the other way around.",NO;NO;YES;NO;YES
262,262,"Who was the writer of the graphic novel upon which the 2003 American superhero film, directed by Bryan Singer, is based?",Chris Claremont,"Chris Claremont was the writer of the graphic novel upon which the 2003 American superhero film, directed by Bryan Singer, is based."," Mark Millar wrote the graphic novel ""X-Men: The Last Stand,"" upon which the 2003 film is based. However, it's important to note that the film's title is actually ""X-Men 2,"" not ""The Last Stand.""","1. Mark Millar penned the graphic novel ""X-Men 2,"" which served as the basis for the 2003 American superhero film directed by Bryan Singer.;2. The graphic novel ""X-Men 2"" was authored by Mark Millar, forming the foundation for the 2003 film directed by Bryan Singer.;3. Mark Millar wrote the graphic novel that underpinned the 2003 American superhero film directed by Bryan Singer, titled ""X-Men 2."";4. The graphic novel ""X-Men 2"" was penned by Mark Millar, providing the source material for the 2003 film directed by Bryan Singer.;5. Mark Millar authored the graphic novel ""X-Men 2,"" which was the basis for the 2003 American superhero film directed by Bryan Singer.",NO;NO;YES;NO;NO,"1. Mark Millar did not write the graphic novel upon which the 2003 American superhero film, directed by Bryan Singer, is based.;2. The graphic novel ""X-Men: The Last Stand,"" upon which the 2003 film is based, was not written by Mark Millar.;3. Mark Millar was not the writer of the graphic novel upon which the 2003 film ""X-Men 2"" is based.;4. The graphic novel ""X-Men: The Last Stand"" was not written by Mark Millar, and the 2003 film is actually titled ""X-Men 2."";5. The 2003 American superhero film, directed by Bryan Singer, is not based on a graphic novel written by Mark Millar.",NO;YES;NO;YES;NO
263,263,"When was the American singer, songwriter, actress and LGBT rights activist born who won Grammy and Emmy award?",22-Jun-53,"The American singer, songwriter, actress, and LGBT rights activist who won Grammy and Emmy awards was born on 22-Jun-53."," The American singer, songwriter, actress, and LGBT rights activist, Janelle Monáe, was born on December 1, 1985.","1. Janelle Monáe, the American singer, songwriter, actress, and LGBT rights activist, was born on the first day of December in the year 1985.;2. The American artist, Janelle Monáe, who is a singer, songwriter, actress, and LGBT rights activist, was born on December 1, 1985.;3. On December 1, 1985, the American entertainer, Janelle Monáe, who is a singer, songwriter, actress, and LGBT rights activist, entered the world.;4. The date of birth for the American performer, Janelle Monáe, who is a singer, songwriter, actress, and LGBT rights activist, is December 1, 1985.;5. The American celebrity, Janelle Monáe, who is a singer, songwriter, actress, and LGBT rights activist, was born on December 1, 1985.",YES;YES;NO;YES;YES,"1. Janelle Monáe was not born on December 1, 1985.;2. The American singer, songwriter, actress, and LGBT rights activist, Janelle Monáe, was not born.;3. Janelle Monáe did not win a Grammy and Emmy award.;4. Janelle Monáe is not an American singer, songwriter, actress, and LGBT rights activist.;5. Janelle Monáe was not born as an American singer, songwriter, actress, and LGBT rights activist.",YES;NO;YES;NO;NO
264,264,Which team based in South Wales participated in a final game of 1980 Welsh Cup Final?,Newport County,"Newport County, a team based in South Wales, participated in the final game of the 1980 Welsh Cup Final.", The team based in South Wales that participated in the 1980 Welsh Cup Final was Swansea City.,"1. In the 1980 Welsh Cup Final, Swansea City, a team located in South Wales, took part.;2. The South Wales-based team that competed in the 1980 Welsh Cup Final was Swansea City.;3. Swansea City, a team situated in South Wales, participated in the final game of the 1980 Welsh Cup.;4. The 1980 Welsh Cup Final saw the participation of Swansea City, a team from South Wales.;5. In the climactic match of the 1980 Welsh Cup, the team from South Wales, Swansea City, was present.",YES;YES;NO;YES;YES,"1. A team based in South Wales did not participate in the 1980 Welsh Cup Final.;2. Swansea City was not the team based in South Wales that participated in the 1980 Welsh Cup Final.;3. The team based in South Wales that participated in the 1980 Welsh Cup Final was not Swansea City.;4. In the 1980 Welsh Cup Final, a team based in South Wales did not participate as Swansea City.;5. Swansea City was not the team that participated from outside South Wales in the 1980 Welsh Cup Final.",NO;NO;NO;NO;YES
265,265,What Nobel Laureate teaches at  Chapman University?,Vernon Smith,"Vernon Smith, the Nobel Laureate, teaches at Chapman University."," Robert A. Millikan, a Nobel Laureate in Physics, did not teach at Chapman University. He taught at the University of Chicago and California Institute of Technology. However, Chapman University has had Nobel Laureate Paul K. Boyer as a professor in the past.","1. Robert A. Millikan, a Nobel Laureate in Physics, did not serve as a professor at Chapman University; instead, he taught at the University of Chicago and California Institute of Technology.;2. Contrary to popular belief, Robert A. Millikan, a Nobel Laureate in Physics, did not teach at Chapman University; he taught at the University of Chicago and California Institute of Technology.;3. Chapman University was not the academic institution where Robert A. Millikan, a Nobel Laureate in Physics, taught; he taught at the University of Chicago and California Institute of Technology.;4. Robert A. Millikan, a Nobel Laureate in Physics, did not have a teaching tenure at Chapman University; he taught at the University of Chicago and California Institute of Technology.;5. Chapman University did not have the privilege of having Robert A. Millikan, a Nobel Laureate in Physics, as a professor; he taught at the University of Chicago and California Institute of Technology.",YES;YES;YES;YES;YES,"1. Robert A. Millikan, a Nobel Laureate in Physics, taught at Chapman University.;2. Paul K. Boyer, and not Robert A. Millikan, is the Nobel Laureate who taught at Chapman University.;3. Robert A. Millikan is a Nobel Laureate who has never taught at Chapman University.;4. Chapman University currently has Robert A. Millikan, a Nobel Laureate in Physics, as a professor.;5. Robert A. Millikan, a Nobel Laureate in Physics, is currently teaching at Chapman University.",YES;YES;YES;NO;NO
266,266,Chuck Berry House was where the 1957 hit single that reached what ranking on the R&B singles chart was composed?,number 8,The 1957 hit single that reached number 8 on the R&B singles chart was composed at Chuck Berry House.," The Chuck Berry House, located in St. Louis, Missouri, is where the 1957 hit single ""Johnny B. Goode"" that reached number 2 on the R&B singles chart was composed.","1. The 1957 hit single ""Johnny B. Goode,"" which reached number 2 on the R&B singles chart, was composed at Chuck Berry's house in St. Louis, Missouri.;2. In St. Louis, Missouri, Chuck Berry's house served as the birthplace of the 1957 hit single ""Johnny B. Goode,"" which reached number 2 on the R&B singles chart.;3. The composition of the 1957 hit single ""Johnny B. Goode,"" which reached number 2 on the R&B singles chart, took place at Chuck Berry's house in St. Louis, Missouri.;4. The hit single ""Johnny B. Goode,"" which reached number 2 on the R&B singles chart in 1957, was created at Chuck Berry's house in St. Louis, Missouri.;5. The 1957 hit single ""Johnny B. Goode,"" which reached number 2 on the R&B singles chart, was conceived at Chuck Berry's house in St. Louis, Missouri.",YES;YES;YES;YES;YES,"1. The 1957 hit single ""Johnny B. Goode"" that reached number 2 on the R&B singles chart was not composed at the Chuck Berry House.;2. The Chuck Berry House, located in St. Louis, Missouri, is not where the 1957 hit single ""Johnny B. Goode"" that reached number 2 on the R&B singles chart was composed.;3. ""Johnny B. Goode"", the 1957 hit single that reached number 2 on the R&B singles chart, was not composed within the Chuck Berry House.;4. The 1957 hit single ""Johnny B. Goode"" that reached number 2 on the R&B singles chart was not composed at the location where the Chuck Berry House is situated.;5. The Chuck Berry House, in St. Louis, Missouri, was not the location where the 1957 hit single ""Johnny B. Goode"" that reached number 2 on the R&B singles chart was not composed.",NO;YES;NO;YES;YES
267,267,Finna Get Loose is a song by Puff Daddy and what American rapper who is also a record and film producer?,Pharrell Lanscilo Williams,"Finna Get Loose is a song by Puff Daddy and Pharrell Lanscilo Williams, an American rapper who is also a record and film producer."," Finna Get Loose is a song by Puff Daddy, also known as Sean Combs, who is an American rapper, record producer, and film producer.","1. Finna Get Loose is a song by Puff Daddy, which features Sean Combs, a renowned American rapper, record producer, and film producer.;2. The song Finna Get Loose is by Puff Daddy, who is none other than Sean Combs, a prominent American rapper, record producer, and film producer.;3. Finna Get Loose is a track by Puff Daddy, showcasing the talents of Sean Combs, a well-known American rapper, record producer, and film producer.;4. Puff Daddy's song Finna Get Loose showcases the skills of Sean Combs, an American rapper, record producer, and film producer.;5. Finna Get Loose, a song by Puff Daddy, highlights the talents of Sean Combs, an American rapper, record producer, and film producer.",YES;YES;YES;YES;YES,"1. Finna Get Loose is not a song by Puff Daddy and an American rapper, record producer, and film producer named Sean Combs.;2. Sean Combs, an American rapper, record producer, and film producer, did not produce Finna Get Loose, a song by Puff Daddy.;3. Puff Daddy is not an American rapper, record producer, and film producer named Sean Combs, who produced Finna Get Loose.;4. Finna Get Loose is not a song produced by an American rapper, record producer, and film producer named Sean Combs, who is also known as Puff Daddy.;5. Sean Combs, an American rapper, record producer, and film producer, did not collaborate with Puff Daddy on Finna Get Loose.",NO;NO;NO;YES;NO
268,268,Which composer was born first out of Gaspare Spontini and Wolfgang Amadeus Mozart?,Gaspare Luigi Pacifico Spontini,"Gaspare Luigi Pacifico Spontini, the composer who was born first, was a renowned Italian opera composer of the late 18th and early 19th centuries."," Wolfgang Amadeus Mozart was born before Gaspare Spontini. Mozart was born in 1756, while Spontini was born in 1774.","1. Gaspare Spontini was born after Wolfgang Amadeus Mozart, as Mozart was born in 1756 and Spontini in 1774.;2. The earlier birth year of the two composers, Wolfgang Amadeus Mozart, precedes that of Gaspare Spontini, who was born in 1774.;3. Wolfgang Amadeus Mozart, born in 1756, came before Gaspare Spontini, who was born in 1774.;4. Gaspare Spontini's birth year, 1774, follows that of Wolfgang Amadeus Mozart, who was born in 1756.;5. Wolfgang Amadeus Mozart, born in 1756, is the earlier of the two composers, with Gaspare Spontini being born in 1774.",YES;YES;YES;YES;YES,1. Gaspare Spontini was born after Wolfgang Amadeus Mozart.;2. Wolfgang Amadeus Mozart was not born after Gaspare Spontini.;3. Gaspare Spontini's birth occurred before Wolfgang Amadeus Mozart's birth.;4. Wolfgang Amadeus Mozart's birth did not occur after Gaspare Spontini's birth.;5. It is not the case that Gaspare Spontini was born before Wolfgang Amadeus Mozart.,NO;YES;YES;YES;NO
269,269,Do Dillingham Airport and Rafael Hernández Airport both handle civilian (passenger) service?,yes,"Yes, both Dillingham Airport and Rafael Hernández Airport handle civilian (passenger) service."," Yes, both Dillingham Airport in Alaska and Rafael Hernández Airport in Puerto Rico offer civilian passenger services.",1. Dillingham Airport in Alaska and Rafael Hernández Airport in Puerto Rico both cater to civilian passengers.;2. Both Dillingham Airport and Rafael Hernández Airport provide services for civilian air travelers.;3. Civilian passenger services are available at both Dillingham Airport in Alaska and Rafael Hernández Airport in Puerto Rico.;4. Dillingham Airport and Rafael Hernández Airport both accommodate civilian passengers.;5. Civilian air travelers can utilize the services of both Dillingham Airport in Alaska and Rafael Hernández Airport in Puerto Rico.,YES;YES;YES;YES;YES,1. Dillingham Airport in Alaska does not offer civilian passenger services.;2. Rafael Hernández Airport in Puerto Rico does not offer civilian passenger services.;3. Neither Dillingham Airport in Alaska nor Rafael Hernández Airport in Puerto Rico offer civilian passenger services.;4. Civilian passenger services are not available at both Dillingham Airport in Alaska and Rafael Hernández Airport in Puerto Rico.;5. It is not the case that both Dillingham Airport in Alaska and Rafael Hernández Airport in Puerto Rico handle civilian (passenger) service.,YES;NO;NO;NO;YES
270,270,"Which band has the guitarist Gorden Mack, Red House Painters or Daughtry?",Red House Painters,The band that has the guitarist Gorden Mack is Red House Painters., Gordon Mack is not a member of either Red House Painters or Daughtry. He is known for his work with the band Aztec Two-Step.,"1. Aztec Two-Step is the band that features Gordon Mack, not Red House Painters or Daughtry.;2. Gordon Mack, known for his guitar skills, is not a member of Red House Painters or Daughtry. Instead, he is associated with the band Aztec Two-Step.;3. While Red House Painters and Daughtry do not include Gordon Mack, he is recognized for his work with the band Aztec Two-Step.;4. Unlike Red House Painters and Daughtry, Gordon Mack is a member of the band Aztec Two-Step.;5. Gordon Mack, a guitarist, is not part of Red House Painters or Daughtry. However, he is associated with the band Aztec Two-Step.",YES;YES;YES;YES;YES,1. Gordon Mack is a member of Red House Painters.;2. Gordon Mack is a member of Daughtry.;3. Gordon Mack is a member of both Red House Painters and Daughtry.;4. Gordon Mack's work is not associated with Aztec Two-Step.;5. Aztec Two-Step does not have Gordon Mack as a guitarist.,NO;NO;NO;NO;YES
271,271,Which film industry would have films in which Ilya Khrzhanovsky would be the director?,The cinema of Russia,The cinema of Russia would have films in which Ilya Khrzhanovsky would be the director., Ilya Khrzhanovsky's films belong to the Russian film industry.,"1. Ilya Khrzhanovsky's directorial works are part of the Russian cinema industry.;2. The Russian film industry includes Ilya Khrzhanovsky as one of its directors.;3. Ilya Khrzhanovsky's films are produced within the Russian film industry.;4. In the Russian film industry, Ilya Khrzhanovsky is a notable director.;5. Ilya Khrzhanovsky's films are a significant contribution to the Russian film industry.",YES;YES;YES;YES;YES,1. Ilya Khrzhanovsky's films do not belong to the American film industry.;2. Ilya Khrzhanovsky's films are not part of the French film industry.;3. Ilya Khrzhanovsky's films are not associated with the British film industry.;4. Ilya Khrzhanovsky's films do not originate from the German film industry.;5. Ilya Khrzhanovsky's films do not fall under the Italian film industry.,YES;YES;YES;YES;YES
272,272,"What public service broadcaster with over 20,950 employees, aired the variety show Welsh Rarebit?",British Broadcasting Corporation (BBC),"The British Broadcasting Corporation (BBC), a public service broadcaster with over 20,950 employees, aired the variety show Welsh Rarebit."," The British Broadcasting Corporation (BBC), with over 20,950 employees, aired the variety show Welsh Rarebit.","1. The variety show Welsh Rarebit was broadcasted by the British Broadcasting Corporation (BBC), which employs more than 20,950 individuals.;2. The British Broadcasting Corporation (BBC), with a workforce of over 20,950, aired the variety show Welsh Rarebit.;3. The variety show Welsh Rarebit was transmitted by the British Broadcasting Corporation (BBC), a broadcaster with over 20,950 employees.;4. The British Broadcasting Corporation (BBC), with a staff of over 20,950, was responsible for airing the variety show Welsh Rarebit.;5. The variety show Welsh Rarebit was aired by the British Broadcasting Corporation (BBC), a public service broadcaster with over 20,950 employees.",YES;NO;YES;NO;YES,"1. The British Broadcasting Corporation (BBC), with over 20,950 employees, did not air the variety show Welsh Rarebit.;2. Welsh Rarebit was not aired by the British Broadcasting Corporation (BBC), with over 20,950 employees.;3. The variety show Welsh Rarebit was not aired by the BBC, which has over 20,950 employees.;4. Over 20,950 employees of the British Broadcasting Corporation (BBC) did not air the variety show Welsh Rarebit.;5. The variety show Welsh Rarebit was not aired by any entity other than the British Broadcasting Corporation (BBC), but it was not aired by them.",NO;NO;NO;NO;NO
273,273,What year did Francesca Caccini's father die?,1618,Francesca Caccini's father died in 1618.," Giulio Caccini, the father of Francesca Caccini, passed away in 1618.","1. In the year 1618, Giulio Caccini, the father of Francesca Caccini, met his demise.;2. The year that saw the death of Giulio Caccini, the father of Francesca Caccini, was 1618.;3. The year 1618 marked the passing of Giulio Caccini, the father of Francesca Caccini.;4. Giulio Caccini, the father of Francesca Caccini, died in the year 1618.;5. The year 1618 was the year of Giulio Caccini's, the father of Francesca Caccini, passing.",YES;YES;YES;YES;YES,"1. Giulio Caccini, the father of Francesca Caccini, did not pass away in 1618.;2. It was not 1618 when Giulio Caccini, the father of Francesca Caccini, died.;3. The death of Giulio Caccini, the father of Francesca Caccini, did not occur in the year 1618.;4. In 1618, Giulio Caccini, the father of Francesca Caccini, did not die.;5. The year Giulio Caccini, the father of Francesca Caccini, died was not 1618.",YES;YES;YES;NO;YES
274,274,Are both Jonathan Marray and Wayne Black British?,no,"No, neither Jonathan Marray nor Wayne Black are British."," Yes, both Jonathan Marray and Wayne Black are British tennis players.","1. Jonathan Marray and Wayne Black are both tennis players from Britain.;2. Both Jonathan Marray and Wayne Black hail from Britain, where they are professional tennis players.;3. As British nationals, both Jonathan Marray and Wayne Black have made a name for themselves in the world of tennis.;4. Both Jonathan Marray and Wayne Black are tennis players, representing their native Britain.;5. Both Jonathan Marray and Wayne Black are British, and they are both successful tennis players.",YES;YES;YES;YES;YES,1. Neither Jonathan Marray nor Wayne Black are British.;2. Jonathan Marray is not a British tennis player.;3. Wayne Black is not a British tennis player.;4. Both Jonathan Marray and Wayne Black are not British tennis players.;5. It is not the case that both Jonathan Marray and Wayne Black are British tennis players.,NO;NO;YES;NO;NO
275,275,What is the name of the national level academy for performing arts that Bhupen Hazarika won his award in 2008? ,Sangeet Natak Akademi,"Bhupen Hazarika won his award in 2008 from Sangeet Natak Akademi, which is the national level academy for performing arts."," Bhupen Hazarika won his award at the Sangeet Natak Akademi, which is the National Academy for Performing Arts in India, in 2008.","1. In 2008, Bhupen Hazarika received his award at the Sangeet Natak Akademi, the National Academy for Performing Arts in India.;2. Bhupen Hazarika's 2008 award was bestowed upon him at the Sangeet Natak Akademi, the prestigious National Academy for Performing Arts in India.;3. The National Academy for Performing Arts in India, known as the Sangeet Natak Akademi, was the venue where Bhupen Hazarika won his award in 2008.;4. Bhupen Hazarika's 2008 award was presented to him at the Sangeet Natak Akademi, the esteemed National Academy for Performing Arts in India.;5. The Sangeet Natak Akademi, the National Academy for Performing Arts in India, was the location where Bhupen Hazarika won his award in 2008.",YES;YES;YES;YES;NO,"1. Bhupen Hazarika did not win his award at the Sangeet Natak Akademi, which is the National Academy for Performing Arts in India, in 2008.;2. The National Academy for Performing Arts in India, known as Sangeet Natak Akademi, is not where Bhupen Hazarika won his award in 2008.;3. Bhupen Hazarika did not win an award at the academy that is the National level for performing arts in India in 2008.;4. In 2008, Bhupen Hazarika did not win an award at the academy that is known as the National Academy for Performing Arts in India.;5. The academy that Bhupen Hazarika won his award at in 2008 is not the one that is the National level for performing arts in India, which is called Sangeet Natak Akademi.",NO;NO;NO;NO;NO
276,276,"Wild About Harry stars an actor born September 28, 1992 who appeared in what in 2006?",Kill Your Darlings,"The actor born September 28, 1992, who appeared in Kill Your Darlings in 2006, stars in Wild About Harry."," The actor born on September 28, 1992, who stars in Wild About Harry, made his film debut in the 2006 movie ""Aquamarine.""","1. The actor born on September 28, 1992, who is the lead in Wild About Harry, first appeared on the big screen in the 2006 film ""Aquamarine."";2. The actor from Wild About Harry, who was born on September 28, 1992, made his cinematic debut in the 2006 movie titled ""Aquamarine."";3. In the year 2006, the actor from Wild About Harry, who was born on September 28, 1992, launched his film career with the movie ""Aquamarine."";4. The actor in Wild About Harry, who was born on September 28, 1992, started his acting career in the 2006 film ""Aquamarine."";5. The actor from the movie Wild About Harry, who was born on September 28, 1992, made his initial film appearance in the 2006 film ""Aquamarine.""",YES;NO;NO;NO;NO,"1. The actor born on September 28, 1992, who stars in Wild About Harry, did not make his film debut in any movie in 2006.;2. The movie ""Aquamarine"" was not the first film in which the actor born on September 28, 1992, who stars in Wild About Harry, appeared in 2006.;3. The actor born on September 28, 1992, who stars in Wild About Harry, did not make his film debut in a movie other than ""Aquamarine"" in 2006.;4. ""Aquamarine"" was not the first movie in which the actor born on September 28, 1992, who stars in Wild About Harry, made his film debut in 2006.;5. The actor born on September 28, 1992, who stars in Wild About Harry, did not make his film debut in any movie before ""Aquamarine"" in 2006.",NO;YES;NO;YES;NO
277,277,Which hip hop act that collaborated in the Red Hot AIDS Benefit Series was also a trio that was formed in New York?,De La Soul,"De La Soul, the hip hop act that collaborated in the Red Hot AIDS Benefit Series, was also a trio that was formed in New York."," The hip hop act, A Tribe Called Quest, which contributed to the Red Hot AIDS Benefit Series, was a New York-based trio.","1. A Tribe Called Quest, a trio from New York, participated in the Red Hot AIDS Benefit Series.;2. The New York-based trio, A Tribe Called Quest, contributed to the Red Hot AIDS Benefit Series.;3. In the Red Hot AIDS Benefit Series, the New York trio, A Tribe Called Quest, collaborated.;4. A Tribe Called Quest, a New York-formed trio, was part of the Red Hot AIDS Benefit Series.;5. The Red Hot AIDS Benefit Series included the New York-based trio, A Tribe Called Quest.",YES;YES;NO;YES;NO,"1. A Tribe Called Quest, which collaborated in the Red Hot AIDS Benefit Series, was not a New York-based trio.;2. The New York-based trio that contributed to the Red Hot AIDS Benefit Series was not A Tribe Called Quest.;3. A Tribe Called Quest, the New York-based trio, did not collaborate in the Red Hot AIDS Benefit Series.;4. The hip hop act that was a trio formed in New York and contributed to the Red Hot AIDS Benefit Series was not A Tribe Called Quest.;5. A Tribe Called Quest was not the New York-based trio that collaborated in the Red Hot AIDS Benefit Series.",NO;YES;NO;NO;NO
278,278,Pro Evolution Soccer 2016 includes which Brazilian footballer on the cover?,Neymar,"Pro Evolution Soccer 2016 includes Neymar, the Brazilian footballer, on the cover.", Pro Evolution Soccer 2016 features Neymar Jr. on its cover.,"1. Neymar Jr. graces the cover of Pro Evolution Soccer 2016.;2. Pro Evolution Soccer 2016 showcases Neymar Jr. as the cover athlete.;3. The cover of Pro Evolution Soccer 2016 showcases the Brazilian footballer, Neymar Jr.;4. Neymar Jr. is the footballer depicted on the cover of Pro Evolution Soccer 2016.;5. Pro Evolution Soccer 2016's cover highlights the Brazilian footballer, Neymar Jr.",NO;YES;YES;YES;YES,1. Pro Evolution Soccer 2016 does not feature Neymar Jr. on its cover.;2. Neymar Jr. is not on the cover of Pro Evolution Soccer 2016.;3. Pro Evolution Soccer 2016 does not include Neymar Jr. as the footballer on its cover.;4. The cover of Pro Evolution Soccer 2016 does not showcase Neymar Jr. as a Brazilian footballer.;5. Neymar Jr. is not the Brazilian footballer featured on the cover of Pro Evolution Soccer 2016.,NO;YES;NO;NO;NO
