,Unnamed: 0,Questions,Answers,extended_answer,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score
514,514,Extract starred what American actress who is known for her work on Saturday Night Live from 2005-2012?,Kristen Carroll Wiig,"Kristen Carroll Wiig, an American actress who is known for her work on Saturday Night Live from 2005-2012, can be extracted as the starred actress.",The American actress known for her work on Saturday Night Live from 2005 to 2012 is Kristen Wiig.,The American actress known for her work on Saturday Night Live from 2005-2012 is Kristen Wiig.;The American actress known for her work on Saturday Night Live from 2005-2012 is Kristen Wiig.;The American actress known for her work on Saturday Night Live from 2005-2012 is Kristen Wiig.;The American actress known for her work on Saturday Night Live from 2005-2012 is Kristen Wiig.;The American actress known for her work on Saturday Night Live from 2005-2012 is Kristen Wiig.;The American actress known for her work on Saturday Night Live from 2005-2012 is Kristen Wiig.;The American actress known for her work on Saturday Night Live from 2005-2012 is Kristen Wiig.;The American actress known for her work on Saturday Night Live from 2005-2012 is Kristen Wiig.;The American actress known for her work on Saturday Night Live from 2005-2012 is Kristen Wiig.;The American actress known for her work on Saturday Night Live from 2005 to 2012 is Kristen Wiig.,"1. Kristen Wiig is the American actress recognized for her work on Saturday Night Live from 2005 to 2012.;2. The actress who gained fame on Saturday Night Live from 2005 to 2012 is Kristen Wiig.;3. Known for her tenure on Saturday Night Live from 2005 to 2012, Kristen Wiig is an American actress.;4. From 2005 to 2012, Kristen Wiig was the American actress celebrated for her performances on Saturday Night Live.;5. The American actress who starred on Saturday Night Live between 2005 and 2012 is Kristen Wiig.",YES;YES;YES;YES;YES,1. The American actress known for her work on Saturday Night Live from 2005 to 2012 is not Kristen Wiig.;2. Kristen Wiig is not the American actress known for her work on Saturday Night Live from 2005 to 2012.;3. The American actress known for her work on Saturday Night Live from 2005 to 2012 is someone other than Kristen Wiig.;4. Kristen Wiig did not work on Saturday Night Live from 2005 to 2012.;5. The American actress known for her work on Saturday Night Live from 2005 to 2012 is not Kristen Wiig but someone else.,NO;NO;NO;NO;NOT SURE,0.0
515,515,What member from The Clinch Mountain Boys plays at the Huck Finn Jubilee Bluegrass Music Festival?,Ralph Edmund Stanley,"Ralph Edmund Stanley, a member from The Clinch Mountain Boys, plays at the Huck Finn Jubilee Bluegrass Music Festival.","Ralph Stanley II, a member of The Clinch Mountain Boys, has performed at the Huck Finn Jubilee Bluegrass Music Festival.","Ralph Stanley II, a member of The Clinch Mountain Boys, has played at the Huck Finn Jubilee Bluegrass Music Festival.;Ralph Stanley II, a member of The Clinch Mountain Boys, has performed at the Huck Finn Jubilee Bluegrass Music Festival.;Ralph Stanley, a member of The Clinch Mountain Boys, has performed at the Huck Finn Jubilee Bluegrass Music Festival.;Ralph Stanley II, a member of The Clinch Mountain Boys, has played at the Huck Finn Jubilee Bluegrass Music Festival.;Ralph Stanley II, a member of The Clinch Mountain Boys, has performed at the Huck Finn Jubilee Bluegrass Music Festival.;Ralph Stanley II, a member of The Clinch Mountain Boys, has performed at the Huck Finn Jubilee Bluegrass Music Festival.;Ralph Stanley II, a member of The Clinch Mountain Boys, has played at the Huck Finn Jubilee Bluegrass Music Festival.;Ralph Stanley II, a member of The Clinch Mountain Boys, has played at the Huck Finn Jubilee Bluegrass Music Festival.;Ralph Stanley, a member of The Clinch Mountain Boys, has performed at the Huck Finn Jubilee Bluegrass Music Festival.;Ralph Stanley II, a member of The Clinch Mountain Boys, has performed at the Huck Finn Jubilee Bluegrass Music Festival.","1. Ralph Stanley II, who is part of The Clinch Mountain Boys, has taken the stage at the Huck Finn Jubilee Bluegrass Music Festival.;2. A performer from The Clinch Mountain Boys, Ralph Stanley II, has played at the Huck Finn Jubilee Bluegrass Music Festival.;3. The Huck Finn Jubilee Bluegrass Music Festival has featured Ralph Stanley II, a member of The Clinch Mountain Boys.;4. Ralph Stanley II, associated with The Clinch Mountain Boys, has appeared at the Huck Finn Jubilee Bluegrass Music Festival.;5. At the Huck Finn Jubilee Bluegrass Music Festival, Ralph Stanley II from The Clinch Mountain Boys has performed.",YES;YES;YES;YES;NOT SURE,"1. Ralph Stanley II, a member of The Clinch Mountain Boys, has not performed at the Huck Finn Jubilee Bluegrass Music Festival.;2. Ralph Stanley II is not a member of The Clinch Mountain Boys who has performed at the Huck Finn Jubilee Bluegrass Music Festival.;3. No member of The Clinch Mountain Boys named Ralph Stanley II has performed at the Huck Finn Jubilee Bluegrass Music Festival.;4. The Huck Finn Jubilee Bluegrass Music Festival has not featured Ralph Stanley II from The Clinch Mountain Boys.;5. Ralph Stanley II has never performed at the Huck Finn Jubilee Bluegrass Music Festival as a member of The Clinch Mountain Boys.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.2
516,516,"Which American actor portray Steve Urkel in ""Family Matters""",Jaleel Ahmad White,"Jaleel Ahmad White is the American actor who portrayed Steve Urkel in ""Family Matters"".","Jaleel White is the American actor who portrayed Steve Urkel in ""Family Matters.""","Jaleel White portrayed Steve Urkel in the television show ""Family Matters."";Jaleel White portrayed Steve Urkel in the television show ""Family Matters."";Jaleel White portrayed Steve Urkel in the television show ""Family Matters."";Jaleel White portrayed Steve Urkel in ""Family Matters."";Jaleel White portrayed Steve Urkel in the American television sitcom ""Family Matters."";American actor Jaleel White portrayed Steve Urkel in ""Family Matters."";Jaleel White portrayed Steve Urkel in the American sitcom ""Family Matters."";Jaleel White is the American actor who portrayed Steve Urkel in ""Family Matters."";Jaleel White portrayed Steve Urkel in the American television sitcom ""Family Matters."";Jaleel White is the American actor who portrayed Steve Urkel in ""Family Matters.""","1. Jaleel White is the actor from America who took on the role of Steve Urkel in ""Family Matters."";2. The character Steve Urkel in ""Family Matters"" was portrayed by the American actor Jaleel White.;3. In ""Family Matters,"" Steve Urkel was brought to life by American actor Jaleel White.;4. The American actor who played Steve Urkel in ""Family Matters"" is Jaleel White.;5. Jaleel White, an American actor, portrayed the character Steve Urkel in ""Family Matters.""",YES;YES;YES;YES;YES,"1. Jaleel White is not the American actor who portrayed Steve Urkel in ""Family Matters."";2. The American actor who portrayed Steve Urkel in ""Family Matters"" is not Jaleel White.;3. Steve Urkel in ""Family Matters"" was not portrayed by Jaleel White.;4. Jaleel White did not portray Steve Urkel in ""Family Matters."";5. In ""Family Matters,"" Steve Urkel was not portrayed by Jaleel White.",NO;NO;NO;NO;NO,0.0
517,517,The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed what?,middle order batsman,The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed middle order batsman.,The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batsman.,"The 2000 ICC KnockOut Trophy marked the debut of Jamaican cricketer Marlon Samuels, who is a right-handed batsman.;The 2000 ICC KnockOut Trophy was the debut of Jamaican cricketer Marlon Samuels, who is a right-handed batsman.;The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batsman.;The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batsman.;The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batsman.;The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batsman.;The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batsman.;The 2000 ICC KnockOut Trophy was the debut of Jamaican cricketer Marlon Samuels, who is a right-handed batsman.;The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batsman.;The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batsman.",1. The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed hitter.;2. The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batter.;3. The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed player.;4. The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed striker.;5. The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed batsman.,NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,1. The 2000 ICC KnockOut Trophy was not the debut of a Jamaican cricketer who is a right-handed batsman.;2. The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is not a right-handed batsman.;3. The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a left-handed batsman.;4. The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed bowler.;5. The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is not a batsman.,NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.0
518,518,"What other occupation did the ""Law West of the Pecos"" have?",saloon-keeper,"The ""Law West of the Pecos"" also had the occupation of a saloon-keeper.","Judge Roy Bean, known as the ""Law West of the Pecos,"" also ran a saloon in Langtry, Texas.","The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon in Langtry, Texas.;The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon in Langtry, Texas.;The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon in Langtry, Texas.;The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon in Langtry, Texas.;The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon in Langtry, Texas.;Judge Roy Bean, known as the ""Law West of the Pecos,"" also ran a saloon in Langtry, Texas.;The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon in Langtry, Texas.;The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon in Langtry, Texas.;The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon in Langtry, Texas.;Judge Roy Bean, known as the ""Law West of the Pecos,"" also ran a saloon in Langtry, Texas.","1. Judge Roy Bean, famously called the ""Law West of the Pecos,"" operated a saloon in Langtry, Texas.;2. Known as the ""Law West of the Pecos,"" Judge Roy Bean also managed a saloon in Langtry, Texas.;3. In addition to being the ""Law West of the Pecos,"" Judge Roy Bean ran a saloon in Langtry, Texas.;4. Judge Roy Bean, referred to as the ""Law West of the Pecos,"" was also a saloon keeper in Langtry, Texas.;5. Besides his role as the ""Law West of the Pecos,"" Judge Roy Bean operated a saloon in Langtry, Texas.",YES;YES;YES;YES;YES,"1. Judge Roy Bean, known as the ""Law West of the Pecos,"" did not run a saloon in Langtry, Texas.;2. The ""Law West of the Pecos"" did not also run a saloon in Langtry, Texas.;3. Judge Roy Bean was not known for running a saloon in Langtry, Texas.;4. The ""Law West of the Pecos"" did not have an occupation running a saloon in Langtry, Texas.;5. Judge Roy Bean did not operate a saloon in Langtry, Texas.",NO;NOT SURE;NO;NOT SURE;NO,0.0
519,519,For what ogranization does a commentator of Press TV serve as associate director?,Henry Jackson Society,"The commentator of Press TV serves as associate director for the Henry Jackson Society, an organization.",A commentator of Press TV serves as an associate director for the Institute for Policy Research & Development.,A commentator of Press TV serves as associate director for the Institute for Policy Research and Development.;A commentator of Press TV serves as associate director for the Institute for Policy Research and Development.;A commentator of Press TV serves as associate director for the Institute for Policy Research & Development (IPRD).;A commentator of Press TV serves as the associate director for the International Action Center.;A commentator of Press TV serves as associate director for the Institute of Policy Studies.;A commentator of Press TV serves as the associate director of the Islamic Human Rights Commission.;A commentator of Press TV serves as associate director for the Institute for Public Accuracy.;A commentator of Press TV serves as associate director for the Institute for Policy Research & Development (IPRD).;A commentator of Press TV serves as associate director for the Institute for Public Accuracy.;A commentator of Press TV serves as an associate director for the Institute for Policy Research & Development.,"1. A commentator of Press TV holds the position of associate director at the Institute for Policy Research & Development.;2. The Institute for Policy Research & Development has a Press TV commentator as its associate director.;3. Serving as an associate director, a commentator of Press TV is affiliated with the Institute for Policy Research & Development.;4. The role of associate director at the Institute for Policy Research & Development is filled by a commentator from Press TV.;5. An associate director at the Institute for Policy Research & Development is a commentator from Press TV.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,1. A commentator of Press TV does not serve as an associate director for the Institute for Policy Research & Development.;2. The Institute for Policy Research & Development does not have a commentator of Press TV as an associate director.;3. An associate director for the Institute for Policy Research & Development is not a commentator of Press TV.;4. The commentator of Press TV is not associated with the Institute for Policy Research & Development.;5. The Institute for Policy Research & Development does not employ a commentator of Press TV as an associate director.,NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.5
520,520,How many episodes were made for the science fiction series with Gus Birney?,ten,Ten episodes were made for the science fiction series with Gus Birney.,"The science fiction series ""The Mist,"" which features Gus Birney, had a total of 10 episodes.","The science fiction series ""The Mist,"" which features Gus Birney, had a total of 10 episodes.;The science fiction series ""The Mist,"" which featured Gus Birney, had a total of 10 episodes.;The science fiction series ""The Mist,"" which featured Gus Birney, had a total of 10 episodes.;The science fiction series ""The Mist,"" which features Gus Birney, had a total of 10 episodes.;The science fiction series ""The Mist,"" which featured Gus Birney, had a total of 10 episodes.;The science fiction series ""The Mist,"" which featured Gus Birney, had a total of 10 episodes.;The science fiction series ""The Mist,"" which featured Gus Birney, had a total of 10 episodes.;The science fiction series ""The Mist,"" which featured Gus Birney, had a total of 10 episodes.;The science fiction series ""The Mist,"" featuring Gus Birney, had a total of 10 episodes.;The science fiction series ""The Mist,"" which features Gus Birney, had a total of 10 episodes.","1. ""The Mist,"" a science fiction series starring Gus Birney, comprised a total of 10 episodes.;2. Featuring Gus Birney, the science fiction series ""The Mist"" was made up of 10 episodes.;3. The science fiction series ""The Mist,"" with Gus Birney in the cast, consisted of 10 episodes.;4. Gus Birney appeared in the science fiction series ""The Mist,"" which had a total of 10 episodes.;5. ""The Mist,"" a series in the science fiction genre with Gus Birney, had 10 episodes in total.",YES;YES;YES;YES;YES,"1. The science fiction series ""The Mist,"" which features Gus Birney, did not have a total of 10 episodes.;2. There were not 10 episodes made for the science fiction series ""The Mist"" with Gus Birney.;3. The series ""The Mist"" featuring Gus Birney did not consist of 10 episodes.;4. ""The Mist,"" the science fiction series with Gus Birney, did not have 10 episodes in total.;5. Gus Birney's science fiction series ""The Mist"" did not have a total of 10 episodes.",YES;YES;NOT SURE;YES;YES,0.0
521,521,In between  Polytechnic University of the Philippines and California Polytechnic State University which was founded as a vocational high school?,California Polytechnic State University,California Polytechnic State University was founded as a vocational high school.,Polytechnic University of the Philippines was founded as a vocational high school.,Polytechnic University of the Philippines was founded as a vocational high school in 1904.;The Polytechnic University of the Philippines was founded as a vocational high school.;Polytechnic University of the Philippines was founded as a vocational high school.;The Polytechnic University of the Philippines was founded as a vocational high school.;The Polytechnic University of the Philippines was founded as a vocational high school in 1904.;The Polytechnic University of the Philippines was founded as a vocational high school.;Polytechnic University of the Philippines was founded as a vocational high school in 1904.;Polytechnic University of the Philippines was founded as a vocational high school.;Polytechnic University of the Philippines was founded as a vocational high school.;Polytechnic University of the Philippines was founded as a vocational high school.,"1. The institution that began as a vocational high school is the Polytechnic University of the Philippines.;2. Polytechnic University of the Philippines originated as a vocational high school.;3. Founded initially as a vocational high school, Polytechnic University of the Philippines stands out.;4. The Polytechnic University of the Philippines has its roots as a vocational high school.;5. Starting as a vocational high school, the Polytechnic University of the Philippines was established.",YES;YES;YES;YES;YES,1. Polytechnic University of the Philippines was not founded as a vocational high school.;2. Polytechnic University of the Philippines was founded as something other than a vocational high school.;3. Polytechnic University of the Philippines was never a vocational high school.;4. Polytechnic University of the Philippines did not start as a vocational high school.;5. Polytechnic University of the Philippines was not originally a vocational high school.,NO;NO;NOT SURE;NO;NOT SURE,0.0
522,522,"Which composer, who was a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16 ?",Ludwig van Beethoven,"Ludwig van Beethoven, who was a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16.",The composer who was a crucial figure in the transition between the Classical and Romantic eras and wrote Piano Sonata No. 16 is Ludwig van Beethoven.,"The composer who was a crucial figure in the transition between the Classical and Romantic eras in Western art music and wrote Piano Sonata No. 16 is Ludwig van Beethoven.;The composer who wrote Piano Sonata No. 16 and was a crucial figure in the transition between the Classical and Romantic eras in Western art music is Ludwig van Beethoven.;Ludwig van Beethoven, a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16.;Ludwig van Beethoven, a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16.;Ludwig van Beethoven, a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16.;Ludwig van Beethoven, who was a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16.;The composer who was a crucial figure in the transition between the Classical and Romantic eras and wrote Piano Sonata No. 16 is Ludwig van Beethoven.;Ludwig van Beethoven, a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16.;Ludwig van Beethoven, a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16.;The composer who was a crucial figure in the transition between the Classical and Romantic eras and wrote Piano Sonata No. 16 is Ludwig van Beethoven.","1. Ludwig van Beethoven, a pivotal composer in the shift from the Classical to the Romantic era, wrote Piano Sonata No. 16.;2. The composer known for bridging the Classical and Romantic periods and who composed Piano Sonata No. 16 is Ludwig van Beethoven.;3. Piano Sonata No. 16 was written by Ludwig van Beethoven, a key figure in the transition between the Classical and Romantic eras.;4. Ludwig van Beethoven, who played a significant role in the transition from Classical to Romantic music, is the composer of Piano Sonata No. 16.;5. The composer of Piano Sonata No. 16, who was instrumental in the transition between the Classical and Romantic eras, is Ludwig van Beethoven.",YES;YES;YES;YES;YES,1. The composer who was a crucial figure in the transition between the Classical and Romantic eras and wrote Piano Sonata No. 16 is not Ludwig van Beethoven.;2. Ludwig van Beethoven did not write Piano Sonata No. 16.;3. Piano Sonata No. 16 was not written by Ludwig van Beethoven.;4. A crucial figure in the transition between the Classical and Romantic eras did not write Piano Sonata No. 16.;5. Ludwig van Beethoven was not a crucial figure in the transition between the Classical and Romantic eras and did not write Piano Sonata No. 16.,NO;NO;YES;NOT SURE;NO,0.0
523,523,Where did the military engagements that Captain Lewis Cunningham Broadus served during take place?,Mexico-United States border region,Captain Lewis Cunningham Broadus served military engagements in the Mexico-United States border region.,The military engagements that Captain Lewis Cunningham Broadus served during took place in the Philippines during the Philippine-American War.,"The military engagements that Captain Lewis Cunningham Broadus served during took place in the Philippines during the Philippine-American War.;Captain Lewis Cunningham Broadus served during military engagements primarily in the Philippine-American War and World War I.;The military engagements that Captain Lewis Cunningham Broadus served during took place primarily in the Philippines during the Philippine-American War.;Captain Lewis Cunningham Broadus served in military engagements during the Philippine-American War and World War I.;Captain Lewis Cunningham Broadus served in military engagements primarily during the Philippine-American War and the Moro Rebellion, which took place in the Philippines.;The military engagements that Captain Lewis Cunningham Broadus served during took place in the Philippines during the Philippine-American War.;The military engagements that Captain Lewis Cunningham Broadus served during took place primarily in the Philippines and on the Western Front during World War I.;Military engagements that Captain Lewis Cunningham Broadus served during took place in France during World War I.;The military engagements that Captain Lewis Cunningham Broadus served in took place during the Spanish-American War and the Philippine-American War.;The military engagements that Captain Lewis Cunningham Broadus served during took place in the Philippines during the Philippine-American War.","1. Captain Lewis Cunningham Broadus participated in military engagements in the Philippines during the Philippine-American War.;2. The Philippines was the location of the military engagements that Captain Lewis Cunningham Broadus served in during the Philippine-American War.;3. During the Philippine-American War, Captain Lewis Cunningham Broadus was involved in military engagements in the Philippines.;4. The military actions that Captain Lewis Cunningham Broadus took part in occurred in the Philippines during the Philippine-American War.;5. Captain Lewis Cunningham Broadus served in military engagements in the Philippines throughout the Philippine-American War.",NOT SURE;YES;NOT SURE;YES;NOT SURE,1. The military engagements that Captain Lewis Cunningham Broadus served during did not take place in the Philippines during the Philippine-American War.;2. Captain Lewis Cunningham Broadus did not serve during military engagements in the Philippines during the Philippine-American War.;3. The Philippine-American War was not where Captain Lewis Cunningham Broadus served during military engagements.;4. The Philippines was not the location of the military engagements that Captain Lewis Cunningham Broadus served during.;5. Captain Lewis Cunningham Broadus did not participate in military engagements in the Philippines during the Philippine-American War.,NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.5
524,524,When was the advisor of Alpher-Bethe-Gamow paper died?,19-Aug-68,The advisor of the Alpher-Bethe-Gamow paper died on 19-Aug-68.,"The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.","The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.;The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.;The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.;The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.;The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.;The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.;The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.;The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.;The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.;The advisor of the Alpher-Bethe-Gamow paper, George Gamow, died on August 19, 1968.","1. George Gamow, the advisor of the Alpher-Bethe-Gamow paper, passed away on August 19, 1968.;2. On August 19, 1968, George Gamow, who advised the Alpher-Bethe-Gamow paper, died.;3. The death of George Gamow, the advisor for the Alpher-Bethe-Gamow paper, occurred on August 19, 1968.;4. August 19, 1968, marks the date when George Gamow, the advisor of the Alpher-Bethe-Gamow paper, died.;5. The advisor of the Alpher-Bethe-Gamow paper, George Gamow, passed on August 19, 1968.",YES;YES;YES;YES;YES,"1. The advisor of the Alpher-Bethe-Gamow paper, George Gamow, did not die on August 19, 1968.;2. George Gamow, the advisor of the Alpher-Bethe-Gamow paper, did not die on August 19, 1968.;3. The advisor of the Alpher-Bethe-Gamow paper did not die on August 19, 1968.;4. George Gamow did not die on August 19, 1968.;5. The death of George Gamow, the advisor of the Alpher-Bethe-Gamow paper, did not occur on August 19, 1968.",YES;YES;NOT SURE;NO;YES,0.0
525,525,Vincas Kudirka is the author of both the music and lyrics of a national anthem which has how many words?,fifty-word,"The national anthem, for which Vincas Kudirka is the author of both the music and lyrics, consists of fifty words.","Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which contains 124 words.","Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which has 45 words in its original Lithuanian version.;Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem ""Tautiška giesmė,"" which contains 43 words.;Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which has 45 words in its original Lithuanian version.;Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which has 45 words.;Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which has 45 words.;Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which contains 45 words.;Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which has 45 words.;Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which has 45 words in its original Lithuanian version.;Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which has 44 words.;Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which contains 124 words.","1. Vincas Kudirka is the creator of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which has a total of 124 words.;2. The Lithuanian national anthem, ""Tautiška giesmė,"" authored in both music and lyrics by Vincas Kudirka, comprises 124 words.;3. ""Tautiška giesmė,"" the Lithuanian national anthem, written in both music and lyrics by Vincas Kudirka, includes 124 words.;4. Vincas Kudirka composed both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which features 124 words.;5. The national anthem of Lithuania, ""Tautiška giesmė,"" with music and lyrics by Vincas Kudirka, contains 124 words.",YES;NOT SURE;YES;YES;NOT SURE,"1. Vincas Kudirka is not the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which contains 124 words.;2. Vincas Kudirka is the author of neither the music nor the lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which contains 124 words.;3. Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which does not contain 124 words.;4. Vincas Kudirka is the author of both the music and lyrics of a national anthem other than the Lithuanian one, ""Tautiška giesmė,"" which contains 124 words.;5. Vincas Kudirka is the author of both the music and lyrics of the Lithuanian national anthem, ""Tautiška giesmė,"" which contains a number of words other than 124.",NO;NO;NOT SURE;NO;NO,1.0
526,526,What is the name of this Austrian association football club from Vienna for which Raphael Holzhauser was a player?,Austria Wien,The name of this Austrian association football club from Vienna for which Raphael Holzhauser was a player is Austria Wien.,The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is FK Austria Wien.,The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is Austria Wien (FK Austria Vienna).;The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is FK Austria Wien.;The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is Austria Wien.;The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is FK Austria Wien.;The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is FK Austria Wien.;The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is FK Austria Wien.;The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is FK Austria Wien.;The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is FK Austria Wien.;The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is Austria Wien.;The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is FK Austria Wien.,"1. FK Austria Wien is the Austrian association football club from Vienna where Raphael Holzhauser played.;2. The Austrian association football club from Vienna that had Raphael Holzhauser as a player is FK Austria Wien.;3. Raphael Holzhauser was a player for the Vienna-based Austrian association football club named FK Austria Wien.;4. FK Austria Wien is the Vienna football club in Austria where Raphael Holzhauser was once a player.;5. The football club from Vienna, Austria, known as FK Austria Wien, had Raphael Holzhauser on its roster.",YES;YES;YES;YES;YES,1. The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is not FK Austria Wien.;2. FK Austria Wien is not the name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player.;3. Raphael Holzhauser did not play for the Austrian association football club named FK Austria Wien.;4. The Austrian association football club from Vienna for which Raphael Holzhauser was a player is not called FK Austria Wien.;5. FK Austria Wien is not the Austrian association football club from Vienna where Raphael Holzhauser played.,NO;NO;NO;NO;NO,0.0
